"FOLIO","SEXO","OPC_ED01"
290201996,"M","S132313"
290603171,"M","S132313"
280209971,"M","S132313"
340104444,"M","S132313"
290804437,"M","S132313"
10736488,"M","S132313"
270702758,"M","S132313"
270102908,"M","S132313"
290104952,"M","S132313"
11105314,"M","S132313"
280309897,"M","S132313"
290302025,"M","S132313"
280103384,"M","S132313"
290803755,"M","S132313"
290605032,"M","S132313"
290803646,"M","S132313"
290208865,"M","S132313"
13330665,"M","S132313"
19800207,"M","S132313"
290508495,"M","S132313"
280301449,"M","S132313"
280203032,"M","S132313"
290808052,"M","S132313"
280604545,"M","S132313"
290307105,"M","S132313"
290302239,"M","S132313"
13300218,"M","S132313"
270306501,"M","S132313"
290304800,"M","S132313"
290606722,"M","S132313"
290103543,"M","S132313"
13302218,"M","S132313"
13137145,"M","S132313"
290302407,"M","S132313"
10541263,"M","S132313"
290101664,"M","S132313"
281002347,"M","S132313"
290803517,"M","S132313"
290101415,"M","S132313"
290802985,"M","S132313"
11930833,"M","S132313"
290407450,"M","S132313"
290508593,"M","S132313"
10221675,"M","S132313"
280703849,"M","S132313"
299900017,"M","S132313"
19803052,"M","S132313"
11011566,"M","S132313"
270307152,"M","S132313"
290104148,"M","S132313"
270210180,"M","S132313"
280403557,"M","S132313"
430101544,"M","S132313"
290208389,"M","S132313"
270307254,"M","S132313"
13833771,"M","S132313"
290105477,"M","S132313"
290808229,"M","S132313"
290106828,"M","S132313"
10930425,"M","S132313"
290804687,"M","S132313"
13122615,"M","S132313"
10945178,"M","S132313"
290605090,"M","S132313"
10305653,"M","S132313"
360102662,"M","S132313"
290106314,"M","S132313"
320400677,"M","S132313"
11906437,"M","S132313"
290505152,"M","S132313"
290607957,"M","S132313"
280808582,"M","S132313"
290505193,"M","S132313"
270606256,"M","S132313"
14037530,"M","S132313"
280509637,"M","S132313"
13420692,"M","S132313"
290409054,"M","S132313"
290307613,"M","S132313"
19800818,"M","S132313"
290804883,"M","S132313"
290702996,"M","S132313"
290605658,"M","S132313"
270700809,"M","S132313"
270505401,"M","S132313"
290307057,"M","S132313"
290402046,"M","S132313"
20201829,"M","S132313"
13306833,"M","S132313"
290603824,"M","S132313"
290502207,"M","S132313"
12717210,"M","S132313"
290409159,"M","S132313"
13135155,"M","S132313"
