"","FOLIO","SEXO","OPC_ED01"
"849","012134150","M","S458044"
"850","012135046","H","S467092"
"851","012135298","H","S557094"
"852","012136109","H","S477035"
"853","012136222","H","S132313"
"854","012136702","M","S458044"
"855","012136770","M","S473044"
"856","012136921","M","S825000"
"857","012137696","H","S132302"
"858","012138012","H","S825000"
"859","012138409","M","S763000"
"860","012140433","M","S709000"
"861","012142557","M","S134313"
"862","012143451","H","S477046"
"863","012144801","M","S724000"
"864","012145783","M","S846000"
"865","012145903","H","S724000"
"866","012145913","H","S132302"
"867","012146856","H","S825000"
"868","012147008","M","S573013"
"869","012147315","M","S458044"
"870","012149484","H","S763000"
"871","012206588","H","S477046"
"872","012206898","M","S458044"
"873","012207015","M","S132313"
"874","012210363","H","S456076"
"875","012210436","M","S825000"
"876","012211831","M","S574087"
"877","012212348","M","S452069"
"878","012212789","H","S054000"
"879","012212814","H","S477046"
"880","012213101","M","S825000"
"881","012213222","H","S724000"
"882","012214598","H","S477046"
"883","012214621","H","S458044"
"884","012214981","M","S477070"
"885","012216396","H","S575094"
"886","012218315","H","S132313"
"887","012220574","M","S477070"
"888","012220624","H","S477046"
"889","012221315","M","S132313"
"890","012221935","H","S574015"
"891","012222067","H","S477039"
"892","012223452","H","S477039"
"893","012223886","M","S724000"
"894","012226449","M","S709000"
"895","012229827","M","S573013"
"896","012231770","H","S477046"
"897","012232077","H","S132313"
"898","012233784","H","S724000"
"899","012234000","H","S132313"
"900","012234621","M","S715000"
"901","012239755","M","S132313"
"902","012240468","H","S452069"
"903","012243181","H","S477046"
"904","012245305","H","S573013"
"905","012246466","H","S574015"
"906","012248594","M","S711000"
"907","012306513","H","S705000"
"908","012311105","M","S132313"
"909","012312755","H","S132302"
"910","012313295","H","S724000"
"911","012313852","H","S463070"
"912","012315229","M","S458044"
"913","012315627","H","S456076"
"914","012316737","M","S846000"
"915","012316790","H","S825000"
"916","012317516","M","S452069"
"917","012317533","M","S134313"
"918","012318589","H","S724000"
"919","012319373","M","S705000"
"920","012324341","H","S477039"
"921","012325774","H","S134313"
"922","012326006","H","S711000"
"923","012326501","H","S132302"
"924","012327448","H","S575020"
"925","012330124","M","S132302"
"926","012331802","H","S132313"
"927","012331905","H","S715000"
"928","012332220","H","S132302"
"929","012332945","M","S458044"
"930","012333082","M","S573013"
"931","012334082","M","S846000"
"932","012337893","H","S458044"
"933","012338318","M","S763000"
"934","012341315","M","S477039"
"935","012341840","M","S477046"
"936","012343572","M","S132302"
"937","012343769","M","S825000"
"938","012345540","H","S477046"
"939","012348405","M","S473044"
"940","012348426","M","S132302"
"941","012348865","M","S054000"
"942","012409448","M","S458044"
"943","012409702","H","S724000"
"944","012411000","M","S458044"
"945","012411444","H","S574015"
"946","012412309","M","S711000"
"947","012413136","M","S477039"
"948","012414142","H","S763000"
"949","012415896","H","S711000"
"950","012416021","H","S846000"
"951","012417447","M","S132313"
"952","012419212","H","S477039"
"953","012420915","H","S575094"
"954","012422149","H","S575094"
"955","012424060","H","S805000"
"956","012425311","M","S132313"
"957","012425472","H","S724000"
"958","012425598","H","S575020"
"959","012426316","H","S054000"
"960","012429722","M","S458044"
"961","012430693","H","S477039"
"962","012432195","M","S724000"
"963","012432465","M","S846000"
"964","012433584","H","S477070"
"965","012433984","H","S458044"
"966","012434182","M","S054000"
"967","012434537","M","S477070"
"968","012436282","M","S477035"
"969","012437840","M","S132313"
"970","012437987","H","S575094"
"971","012438594","H","S846000"
"972","012440781","M","S132302"
"973","012441051","H","S724000"
"974","012441305","H","S574015"
"975","012441416","M","S473044"
"976","012441629","H","S711000"
"977","012441993","M","S132313"
"978","012442116","M","S574087"
"979","012443967","M","S724000"
"980","012444574","H","S132313"
"981","012444804","M","S132302"
"982","012445183","M","S715000"
"983","012446320","H","S477070"
"984","012446834","M","S477070"
"985","012505933","H","S715000"
"986","012507614","M","S825000"
"987","012509196","M","S132313"
"988","012509409","M","S709000"
"989","012509541","H","S132313"
"990","012510659","M","S132313"
"991","012511733","M","S805000"
"992","012513949","H","S705000"
